tool_name,legacy_runtime_s,next_gen_runtime_s,speedup_ratio,speedup_pct,time_savings_s,parity_band
reciprocal,2.6,0.03,86.83,98.85,2.58,Green
sqrt,2.09,0.03,69.67,98.56,2.06,Green
ceil,2.08,0.03,69.17,98.55,2.05,Green
truncate,2.01,0.03,67.0,98.51,1.98,Green
round,1.92,0.03,64.17,98.44,1.9,Green
floor,2.05,0.04,58.57,98.29,2.01,Green
square,2.06,0.04,51.38,98.05,2.02,Green
log10,2.38,0.06,39.75,97.48,2.32,Green
exp2,2.34,0.07,33.43,97.01,2.27,Green
abs,1.92,0.06,32.08,96.88,1.86,Green
standard_deviation_contrast_stretch,97.09,3.06,31.73,96.85,94.03,Green
z_scores,97.65,3.14,31.1,96.78,94.51,Green
exp,2.31,0.08,30.8,96.75,2.24,Green
ln,2.41,0.08,30.12,96.68,2.33,Green
bool_xor,1.9,0.06,29.23,96.58,1.84,Green
bool_or,1.88,0.07,26.86,96.28,1.81,Green
divide,2.07,0.08,24.35,95.89,1.98,Green
multiply,2.04,0.09,22.72,95.6,1.95,Green
greater_than_or_equal_to,2.37,0.1,22.57,95.57,2.26,Green
less_than_or_equal_to,2.38,0.11,21.68,95.39,2.28,Green
less_than,2.38,0.11,21.59,95.37,2.26,Green
not_equal_to,2.37,0.11,21.55,95.36,2.26,Green
greater_than,2.37,0.11,21.55,95.36,2.26,Green
equal_to,2.37,0.11,21.55,95.36,2.26,Green
log2,2.36,0.11,21.45,95.34,2.25,Green
bool_not,1.84,0.09,20.44,95.11,1.75,Green
bool_and,1.92,0.1,19.15,94.78,1.82,Green
modulo,3.12,0.16,18.88,94.7,2.95,Green
turning_bands_simulation,160.56,15.54,10.33,90.32,145.02,Green
sin,2.4,0.25,9.62,89.6,2.15,Green
atan2,3.82,0.43,8.87,88.73,3.38,Green
symmetrical_difference,2.45,0.32,7.66,86.94,2.13,Green
arsinh,3.11,0.5,6.22,83.92,2.61,Green
union,2.52,0.42,6.0,83.33,2.1,Green
arctan,2.43,0.44,5.52,81.89,1.99,Green
tan,2.42,0.46,5.32,81.2,1.96,Green
percent_greater_than,5.11,0.98,5.21,80.8,4.12,Green
arcosh,2.24,0.44,5.09,80.36,1.8,Green
sinh,2.19,0.44,5.03,80.14,1.76,Green
arcsin,2.22,0.46,4.88,79.5,1.76,Green
artanh,2.12,0.44,4.87,79.48,1.68,Green
percent_less_than,4.63,0.97,4.77,79.05,3.66,Green
increment,1.94,0.42,4.62,78.35,1.52,Green
tanh,2.09,0.47,4.45,77.51,1.62,Green
to_degrees,1.84,0.42,4.38,77.17,1.42,Green
to_radians,1.83,0.42,4.31,76.78,1.4,Green
subtract,1.84,0.43,4.28,76.63,1.41,Green
fill_depressions_planchon_and_darboux,284.71,72.36,3.93,74.59,212.36,Green
percent_equal_to,5.56,1.48,3.77,73.47,4.08,Green
lowest_position,1.66,0.44,3.74,73.27,1.22,Green
highest_position,1.68,0.46,3.7,73.0,1.23,Green
horizon_angle,10.25,3.05,3.36,70.24,7.2,Green
min_overlay,2.67,0.8,3.32,69.85,1.86,Green
count_if,1.79,0.54,3.31,69.83,1.25,Green
weighted_sum,2.48,0.76,3.28,69.49,1.72,Green
plan_curvature,8.66,2.68,3.23,69.0,5.98,Green
breach_depressions_least_cost,7.36,2.42,3.03,67.03,4.93,Green
add,1.3,0.44,2.96,66.18,0.86,Green
max_absolute_overlay,2.4,0.82,2.95,66.11,1.59,Green
multiply_overlay,2.44,0.83,2.95,66.05,1.61,Green
min_absolute_overlay,2.35,0.81,2.9,65.53,1.54,Green
buffer_raster,29.15,10.06,2.9,65.51,19.1,Green
average_horizon_distance,124.38,43.68,2.85,64.88,80.69,Green
max_overlay,2.31,0.81,2.85,64.86,1.5,Green
average_overlay,2.56,0.9,2.83,64.72,1.66,Green
sum_overlay,2.15,0.81,2.66,62.41,1.34,Green
standard_deviation_overlay,2.29,0.87,2.63,62.01,1.42,Green
burn_streams,58.54,25.44,2.3,56.54,33.1,Green
high_pass_filter,7.82,3.58,2.19,54.25,4.24,Green
decrement,2.02,0.96,2.12,52.72,1.06,Green
fill_depressions_wang_and_liu,86.62,43.96,1.97,49.24,42.66,Green
rescale_value_range,2.63,1.38,1.91,47.53,1.25,Green
roberts_cross_filter,2.4,1.32,1.82,45.11,1.08,Green
standard_deviation_filter,8.14,4.59,1.77,43.61,3.55,Green
horizon_area,85.17,49.04,1.74,42.43,36.14,Green
percentage_contrast_stretch,11.92,6.87,1.74,42.37,5.05,Green
fast_almost_gaussian_filter,29.42,16.96,1.73,42.35,12.46,Green
watershed,7.57,4.52,1.67,40.29,3.05,Green
geomorphons,56.97,34.75,1.64,39.0,22.22,Green
rho8_flow_accum,12.04,7.4,1.63,38.54,4.64,Green
rho8_flow_accum,12.04,7.4,1.63,38.54,4.64,Green
d8_flow_accum,11.71,7.44,1.57,36.46,4.27,Green
quantiles,5.36,3.6,1.49,32.81,1.76,Green
laplacian_filter,2.34,1.58,1.48,32.33,0.75,Green
